ID_CLIENTE,SAFRA_REF,INADIMPLENTE
1661240395903230676,2021-07,0.04
1661240395903230676,2021-07,0.04
1661240395903230676,2021-07,0.11
1661240395903230676,2021-07,0.04
1661240395903230676,2021-07,0.05
1661240395903230676,2021-07,0.05
1661240395903230676,2021-07,0.05
1661240395903230676,2021-07,0.14
1661240395903230676,2021-08,0.01
1661240395903230676,2021-09,0.01
1661240395903230676,2021-09,0.01
1661240395903230676,2021-10,0.01
1661240395903230676,2021-10,0.0
1661240395903230676,2021-10,0.01
1661240395903230676,2021-11,0.09
1661240395903230676,2021-11,0.04
1661240395903230676,2021-11,0.08
1661240395903230676,2021-11,0.04
1661240395903230676,2021-11,0.08
8274986328479596038,2021-11,0.1
345447888460137901,2021-08,0.01
345447888460137901,2021-09,0.02
1003144834589372198,2021-07,0.0
1003144834589372198,2021-07,0.0
1003144834589372198,2021-07,0.0
1003144834589372198,2021-07,0.0
1003144834589372198,2021-07,0.0
1003144834589372198,2021-08,0.0
1003144834589372198,2021-08,0.0
1003144834589372198,2021-08,0.0
1003144834589372198,2021-08,0.0
1003144834589372198,2021-08,0.0
1003144834589372198,2021-08,0.0
1003144834589372198,2021-08,0.0
1003144834589372198,2021-08,0.0
1003144834589372198,2021-09,0.0
1003144834589372198,2021-09,0.0
1003144834589372198,2021-09,0.0
1003144834589372198,2021-09,0.0
1003144834589372198,2021-09,0.0
1003144834589372198,2021-09,0.01
1003144834589372198,2021-10,0.0
1003144834589372198,2021-10,0.0
1003144834589372198,2021-10,0.01
1003144834589372198,2021-10,0.0
1003144834589372198,2021-10,0.0
1003144834589372198,2021-10,0.0
1003144834589372198,2021-10,0.0
1003144834589372198,2021-10,0.0
1003144834589372198,2021-10,0.0
1003144834589372198,2021-10,0.0
1003144834589372198,2021-10,0.0
1003144834589372198,2021-11,0.0
1003144834589372198,2021-11,0.0
1003144834589372198,2021-11,0.0
1003144834589372198,2021-11,0.0
1003144834589372198,2021-11,0.0
1003144834589372198,2021-11,0.0
1003144834589372198,2021-11,0.0
1003144834589372198,2021-11,0.0
1003144834589372198,2021-11,0.0
324916756972236008,2021-07,0.02
324916756972236008,2021-07,0.58
324916756972236008,2021-07,0.17
